Title,Authors,Date,Publication_Link
'Nordic added value’: a floating signifier and a mechanism for Nordic higher education regionalism,['QueAnh Dang'],3 Apr 2023,https://pureportal.coventry.ac.uk/en/publications/nordic-added-value-a-floating-signifier-and-a-mechanism-for-nordi
Obituary for Zoltán Dörnyei (1960–2022): a bibliometric mapping of his publications,"['Anas Hajar', 'Mehmet Karakus']",5 Jul 2023,https://pureportal.coventry.ac.uk/en/publications/obituary-for-zolt%C3%A1n-d%C3%B6rnyei-19602022-a-bibliometric-mapping-of-hi
Post-pandemic online mathematics and statistics support: Practitioners’ opinions in Germany and Great Britain & Ireland,"['Holly Jade Gilbert', 'Mirko Schürmann', 'Duncan Lawson', 'Michael Liebendörfer', 'Mark Hodds']",19 Mar 2023,https://pureportal.coventry.ac.uk/en/publications/post-pandemic-online-mathematics-and-statistics-support-practitio
Resistant Imagery in Struggles for Justice,['Ken Fero'],26 May 2023,https://pureportal.coventry.ac.uk/en/publications/resistant-imagery-in-struggles-for-justice
The impact of Covid-19 on mathematical entry competencies: 1 year on,['Mark Hodds'],18 Jan 2023,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-covid-19-on-mathematical-entry-competencies-1-year-
"The role of teacher selection criteria and preparation on teacher self-efficacy, satisfaction, and commitment: An analysis of Kazakhstani TALIS data","['Matthew Courtney', 'Mehmet Karakus', 'Elaine Sharplin', 'Daniel Hernandez Torrano', 'Janet Helmer', 'Zakir Jumakulov']",27 May 2023,https://pureportal.coventry.ac.uk/en/publications/the-role-of-teacher-selection-criteria-and-preparation-on-teacher
Throwing light on fee-charging tutoring during the global pandemic in Kazakhstan: implications for the future of higher education,"['Anas Hajar', 'Mehmet Karakus']",26 Feb 2023,https://pureportal.coventry.ac.uk/en/publications/throwing-light-on-fee-charging-tutoring-during-the-global-pandemi
Transformational school leadership: a systematic review of research in a centralized education system,"['Mustafa Toprak', 'Mehmet Karakus', 'Junjun Chen']",23 Jun 2023,https://pureportal.coventry.ac.uk/en/publications/transformational-school-leadership-a-systematic-review-of-researc
Understanding the Academic Achievement of the First- and Second-Generation Immigrant Students: A Multi-level Analysis of PISA 2018 Data,"['Mehmet Karakus', 'Matthew Courtney', 'Hasan Aydin']",May 2023,https://pureportal.coventry.ac.uk/en/publications/understanding-the-academic-achievement-of-the-first-and-second-ge
What does it Mean to be Educated in Nigerian Student Experience?,['Emmanuel Johnson'],1 Jun 2023,https://pureportal.coventry.ac.uk/en/publications/what-does-it-mean-to-be-educated-in-nigerian-student-experience
75 Years of Scouting/Guiding Activities in Pakistan - Celebrating the Shared British Heritage of Active Citizenship,"['Sumaira Noreen', 'Luca Morini']",Dec 2022,https://pureportal.coventry.ac.uk/en/publications/75-years-of-scoutingguiding-activities-in-pakistan-celebrating-th
"A bibliometric mapping of shadow education research: achievements, limitations, and the future","['Anas Hajar', 'Mehmet Karakus']",Jun 2022,https://pureportal.coventry.ac.uk/en/publications/a-bibliometric-mapping-of-shadow-education-research-achievements-
ACES - A Community-centred Educational Model for Developing Social Resilience,"['Katherine Wimpenny', 'Sylvester Arnab', 'Fadhli Muhibuddin', 'Fitri Mohamad', 'Thom Thom Thom Nguyen', 'Dominic Mahon']",6 Sept 2022,https://pureportal.coventry.ac.uk/en/publications/aces-a-community-centred-educational-model-for-developing-social-
"After Carlo Giuliani, After Joy Gardner, After George Floyd – collective memory and radical film'.",['Ken Fero'],15 Jun 2022,https://pureportal.coventry.ac.uk/en/publications/after-carlo-giuliani-after-joy-gardner-after-george-floyd-collect
Analysing enterprise resources for developing CRM framework in higher education institutions,"['Basel Khashab', 'Stephen Gulliver', 'Rami Ayoubi', 'Carolyn Strong']",24 Nov 2022,https://pureportal.coventry.ac.uk/en/publications/analysing-enterprise-resources-for-developing-crm-framework-in-hi
A ‘Glocal’  Community of Practice to Support International ELT (English Language Teaching) Students in the UK: Project BMELTET ,"['Marina Orsini-Jones', ""Abraham Cervero' Carrascosa"", 'Kyria Finardi']",May 2022,https://pureportal.coventry.ac.uk/en/publications/a-glocal-community-of-practice-to-support-international-elt-engli
Being All Over the Place and Pulling Oneself Together,['Luca Morini'],24 May 2022,https://pureportal.coventry.ac.uk/en/publications/being-all-over-the-place-and-pulling-oneself-together
Being there in a crisis: increasing access to the paramedic profession for BME communities,"['Helen Wesson', 'Amanda Rodrigues Amorim Adegboye', 'Kim Stuart', 'Tracey Rehling', 'Gary Gilkes', 'Elicia Austin', 'Barbara Kozlowska', 'Julia Carroll', 'Justine Anthony', 'Rosie Kneafsey']",4 Oct 2022,https://pureportal.coventry.ac.uk/en/publications/being-there-in-a-crisis-increasing-access-to-the-paramedic-profes
Changes in student entry competencies 2001 - 2017,"['Mark Hodds', 'Jia Shao', 'Duncan Lawson']",1 Jun 2022,https://pureportal.coventry.ac.uk/en/publications/changes-in-student-entry-competencies-2001-2017
Critical digital literacy as a key for (post)digital citizenship: an international review of teacher competence frameworks,"['Daniel Villar-Onrubia', 'Luca Morini', 'Victoria I. Marín', 'Fabio Nascimbeni']",30 Dec 2022,https://pureportal.coventry.ac.uk/en/publications/critical-digital-literacy-as-a-key-for-postdigital-citizenship-an
Curriculum Internationalization and the ‘Decolonizing Academic’,"['Katherine Wimpenny', 'Jos Beelen', 'Karine Hendrix', 'Virginia King', 'Ellen Sjoer']",10 Nov 2022,https://pureportal.coventry.ac.uk/en/publications/curriculum-internationalization-and-the-decolonizing-academic
Doctorate Supervision in Virtual Borderland Spaces,"['Katherine Wimpenny', 'Liezel Frick', 'Ferdie Gerber', 'Virginia King', 'Elphina Cishe', 'Mmampho Gogela-Smith ', 'Israel Kariyan', 'Belinda Musodza ', 'QueAnh Dang', 'Luca Morini', 'Nompilo Tshuma', 'Peter Rule', 'Oluwafunmiso Ayoola']",16 Mar 2022,https://pureportal.coventry.ac.uk/en/publications/doctorate-supervision-in-virtual-borderland-spaces
"Do governmental institutions’ readiness Influence citizens’ acceptance of e-services? Technology task fit, system quality, and facilitating conditions as antecedents","['Mansour Alraja', 'Basel Khashab', 'Rami Ayoubi', 'Mahmoud Shah']",11 May 2022,https://pureportal.coventry.ac.uk/en/publications/do-governmental-institutions-readiness-influence-citizens-accepta
Editorial: CETL-MSOR Conference Special Issue 1: Responding to the COVID-19 pandemic,"['Mark Hodds', 'Peter Rowlett']",25 Mar 2022,https://pureportal.coventry.ac.uk/en/publications/editorial-cetl-msor-conference-special-issue-1-responding-to-the-
"Editorial: CETL-MSOR Conference Special Issue 2: Innovations in teaching, learning, assessment and support","['Mark Hodds', 'Peter Rowlett']",12 May 2022,https://pureportal.coventry.ac.uk/en/publications/editorial-cetl-msor-conference-special-issue-2-innovations-in-tea
"Evaluation of the ThinkHigher Uni Connect Programme Coventry and Warwickshire, in Year 10 students","['Charlotte Price', 'Claire Anderson', 'Jamie Ormes', 'Sarah Farrell', 'Josh Pointon']",30 Oct 2022,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-the-thinkhigher-uni-connect-programme-coventry-and-
"Evaluation of the ThinkHigher Uni Connect Programme Coventry and Warwickshire, in Year 12 students","['Charlotte Price', 'Claire Anderson', 'Joanne Gaffney']",30 Oct 2022,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-the-thinkhigher-uni-connect-programme-coventry-and--2
Exploring Students' Experiences in Occupational Therapy Education: A Phenomenological Study of Professional Identity Development,"['Peter O. Ndaa', 'Katherine Wimpenny', 'Rebecca Khanna', 'Simon Goodman', 'Ajediran I. Bello']",3 Jan 2022,https://pureportal.coventry.ac.uk/en/publications/exploring-students-experiences-in-occupational-therapy-education-
Exploring the factors that impacts the self-directed learning of academic staff in universities,"['Eddie Hasri', 'Rami Ayoubi', 'Mujahid Mohiuddin Babu', 'Jennifer Ferreira']",11 May 2022,https://pureportal.coventry.ac.uk/en/publications/exploring-the-factors-that-impacts-the-self-directed-learning-of-
Exposed: Nursing Narratives – Racism and the Pandemic,['Ken Fero'],6 Mar 2022,https://pureportal.coventry.ac.uk/en/publications/exposed-nursing-narratives-racism-and-the-pandemic
Figures of a Gender Now Upon Us: The Transfeminine in Contemporary Queer Fiction from the Philippines,['Jaya Jacobo'],1 Jan 2022,https://pureportal.coventry.ac.uk/en/publications/figures-of-a-gender-now-upon-us-the-transfeminine-in-contemporary
Foreword by Prof. Katherine Wimpenny,['Katherine Wimpenny'],2022,https://pureportal.coventry.ac.uk/en/publications/foreword-by-prof-katherine-wimpenny
Gamified flipped classroom versus traditional classroom learning: Which approach is more efficient in business education?,"['Usman Durrani', 'Ghazi Al Naymat', 'Rami Ayoubi', 'Muhammad Mustafa Kamal', 'Hanan Hussain']",1 Mar 2022,https://pureportal.coventry.ac.uk/en/publications/gamified-flipped-classroom-versus-traditional-classroom-learning-
"Global Citizenship Education and Sustainability: overcoming contradictions, tensions, rhetoric, and ‘flaws’: Global Citizenship and Borderland Learning ","['Dalene Swanson', 'Douglas Bourn', 'Katherine Wimpenny', 'Jenny Hatley', 'Mostafa Gamal', 'Sally Findlow']",6 Sept 2022,https://pureportal.coventry.ac.uk/en/publications/global-citizenship-education-and-sustainability-overcoming-contra
Global Learning and Assessment; How can global citizenship-oriented curricula enhance teaching training?,"['Arinola Adefila', 'QueAnh Dang', 'Alun DeWinter', 'Luca Morini', 'Katherine Wimpenny']",2022,https://pureportal.coventry.ac.uk/en/publications/global-learning-and-assessment-how-can-global-citizenship-oriente
Higher education decolonisation: #Whose voices and their geographical locations?,"['Arinola Adefila', 'Rafael Vieira Teixeira', 'Luca Morini', 'Maria Lucia Texeira Garcia', 'Tania Mara Zanotti Guerra Frizzera Delboni', 'Gary Spolander', 'Mouzayian Khalil-Babatunde']",27 May 2022,https://pureportal.coventry.ac.uk/en/publications/higher-education-decolonisation-whose-voices-and-their-geographic
title,authors,date,link
"Knowing, Being, Relating and Expressing through Third Space Global South-North COIL: Digital Inclusion and Equity in International Higher Education","['Katherine Wimpenny', 'Kyria Finardi', 'Marina Orsini-Jones', 'Lynette Jacobs']",May 2022,https://pureportal.coventry.ac.uk/en/publications/knowing-being-relating-and-expressing-through-third-space-global-
Local Authorities as actors in the emerging ‘school-led’ system in England,"['Megan Crawford', 'Bronwen Maxwell', 'John Coldron', 'Tim Simkins']",7 Jun 2022,https://pureportal.coventry.ac.uk/en/publications/local-authorities-as-actors-in-the-emerging-school-led-system-in-
Neurodiversidad en la Educación Superior: la experiencia de los estudiantes ,"['Genoveva Amador Fierros', 'Lynn Clouder', 'Mehmet Karakus', 'Isaac Uribe Alvarado', 'Alessia Cinotti', 'Maria Virginia Ferreyra', 'Patricia Rojo']",22 Mar 2022,https://pureportal.coventry.ac.uk/en/publications/neurodiversidad-en-la-educaci%C3%B3n-superior-la-experiencia-de-los-es
Nurturing a Climate of Innovation in a Didactic Educational System: A Case Study Exploring Leadership in Private Schools in Turkey,"['Alpay Ersozlu', 'Mehmet Karakus', 'Fahri Karakas', 'Deanne Lynn Clouder']",6 Oct 2022,https://pureportal.coventry.ac.uk/en/publications/nurturing-a-climate-of-innovation-in-a-didactic-educational-syste
Older Individuals Convicted of Sexual Offenses: A Literature Review,"['Rebecca Crookes', 'Carlo Tramontano', 'Sarah Brown', 'Kate Walker', 'Hayley Wright']",Apr 2022,https://pureportal.coventry.ac.uk/en/publications/older-individuals-convicted-of-sexual-offenses-a-literature-revie
Out of the comfort zone: The Trouble With A Mooc-Virtual Exchange (Ve) Blend At The Time Of The Covid 19 Pandemic,"['Marina Orsini-Jones', 'Kyria Finardi']",4 Jun 2022,https://pureportal.coventry.ac.uk/en/publications/out-of-the-comfort-zone-the-trouble-with-a-mooc-virtual-exchange-
Pedagogy of queer studies beyond empire,"['Vina Adriany', 'Sharon A. Bong', 'Brian Curtin', 'Jaya Jacobo', 'J. Daniel Luther']",22 Nov 2022,https://pureportal.coventry.ac.uk/en/publications/pedagogy-of-queer-studies-beyond-empire
Playful Participatory Mapping – Co-creating Games to Foster Systems Thinking,"['Luca Morini', 'Yung-Fang Chen', 'Arinola Adefila', 'Dominic Mahon', 'Mark Dawson', 'Fitri Mohamad', 'Jacey-Lynn Minoi', 'Gilson Schwartz']",2022,https://pureportal.coventry.ac.uk/en/publications/playful-participatory-mapping-co-creating-games-to-foster-systems
Prendersi (il) gioco: la prospettiva della co-progettazione contro l’egemonia dei sistemi chiusi nei giochi educativi,"['Luca Morini', 'Federica Baroni']",10 Oct 2022,https://pureportal.coventry.ac.uk/en/publications/prendersi-il-gioco-la-prospettiva-della-co-progettazione-contro-l
"Principal, let’s talk about emotions: some lessons COVID-19 taught us about emergency situations and leadership","['Izhar Oplatka', 'Megan Crawford']",2 Jan 2022,https://pureportal.coventry.ac.uk/en/publications/principal-lets-talk-about-emotions-some-lessons-covid-19-taught-u
Questioning the Published: On the Unpublishability and (Therefore) the Importance of Invisible (Academic) Activism,['Luca Morini'],1 Jan 2022,https://pureportal.coventry.ac.uk/en/publications/questioning-the-published-on-the-unpublishability-and-therefore-t
"Self-efficacy in the Classroom: The Roles of Motivation, Positivity and Resilience","['Clare Wood', 'Carlo Tramontano', 'Suzannah Hemsley']",8 Mar 2022,https://pureportal.coventry.ac.uk/en/publications/self-efficacy-in-the-classroom-the-roles-of-motivation-positivity
Students’ perceptions and experiences of translanguaging pedagogy in teaching English for academic purposes in China,"['Dan Liu', 'Yi Deng', 'Katherine Wimpenny']",13 Oct 2022,https://pureportal.coventry.ac.uk/en/publications/students-perceptions-and-experiences-of-translanguaging-pedagogy-
Taking COIL Virtual Exchange to Scale: 2004-2020,"['Jon Rubin', 'Katherine Wimpenny', 'Brenda Garcia', 'Gian Mario Besana', 'Eva Haug', 'Jami Leibowitz', 'Albina Szeles', ""Ruth O'Brien""]",6 Sept 2022,https://pureportal.coventry.ac.uk/en/publications/taking-coil-virtual-exchange-to-scale-2004-2020
The engaged university: Exploring mutuality and reciprocity between and within communities inside and outside universities through ACES.,"['Katherine Wimpenny', 'Sylvester Arnab', 'Fitri Suraya Mohamad', 'Thom Thom Thom Nguyen', 'Fadhli Muhibuddin']",10 Nov 2022,https://pureportal.coventry.ac.uk/en/publications/the-engaged-university-exploring-mutuality-and-reciprocity-betwee
The Impact of COVID-19 on Year 13 A level Mathematics Students: findings of a small-scale survey,"['Charlotte Price', 'Alun Owen', 'Duncan Lawson']",8 Apr 2022,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-covid-19-on-year-13-a-level-mathematics-students-fi
The Implicit Component of Moral Disengagement: Applying the Relational Responding Task to Investigate Its Relationship With Cheating Behavior,"['Roberta Fida', 'Valerio Ghezzi', 'Marinella Paciello', 'Carlo Tramontano', 'Francesco Dentale', 'Claudio Barbaranelli']",1 Jan 2022,https://pureportal.coventry.ac.uk/en/publications/the-implicit-component-of-moral-disengagement-applying-the-relati
The influence of ict use and related attitudes on students’ math and science performance: multilevel analyses of the last decade’s pisa surveys,"['Matthew Courtney', 'Mehmet Karakus', 'Zara Ersozlu', 'Kaidar Nurumov']",2 Aug 2022,https://pureportal.coventry.ac.uk/en/publications/the-influence-of-ict-use-and-related-attitudes-on-students-math-a
The Scientific Approach of The Indonesian 2013 Curriculum: A Comparison with Other Active Learning Strategies in Mathematics,"['Rosida Rakhmawati Muhammad', 'Duncan Lawson', 'Farzana Aslam', 'Megan Crawford']",15 May 2022,https://pureportal.coventry.ac.uk/en/publications/the-scientific-approach-of-the-indonesian-2013-curriculum-a-compa
The student experiences of teaching and learning in transnational higher education: A phenomenographic study from a British-Qatari partnership,"['Khalifa Alyafei', 'Rami Ayoubi', 'Megan Crawford']",2022,https://pureportal.coventry.ac.uk/en/publications/the-student-experiences-of-teaching-and-learning-in-transnational
The University Colonised/Coloniser,"['Luca Morini', 'Arinola Adefila']",10 Jun 2022,https://pureportal.coventry.ac.uk/en/publications/the-university-colonisedcoloniser
Using open education practices across the Mediterranean for intercultural curriculum development in higher education,"['Katherine Wimpenny', 'Fabio Nascimbeni', 'Saida Affouneh', 'Ahmed Alkamari', 'Isidro Jariego', 'Ayman Eldieb']",2022,https://pureportal.coventry.ac.uk/en/publications/using-open-education-practices-across-the-mediterranean-for-inter-2
Walking with teachers: A study to explore the importance of teacher wellbeing and their careers,"['Sue Langford', 'Megan Crawford']",7 Feb 2022,https://pureportal.coventry.ac.uk/en/publications/walking-with-teachers-a-study-to-explore-the-importance-of-teache
“It needs to be the right blend”: a qualitative exploration of remote e-workers’ experience and well-being at work.”,"['Maria Charalampous', 'Christine Grant', 'Carlo Tramontano']",14 Feb 2022,https://pureportal.coventry.ac.uk/en/publications/it-needs-to-be-the-right-blend-a-qualitative-exploration-of-remot
"Adapting a capacity-development-in-higher-education project: Doing, being and becoming virtual collaboration","['Lynette Jacobs', 'Katherine Wimpenny', 'Lize-Mari Mitchelle', 'Cornelius Hagenmeier', 'Jos Beelen', 'Merle Hodges', 'Varkey George', 'Alun DeWinter', 'Chevon Slambee', 'Segun Obadire', 'Alexandra Viviani', 'Lavern Samuels', 'Leolyn Jackson', 'Reinout Klamer', 'Nooreen Adam']",12 Mar 2021,https://pureportal.coventry.ac.uk/en/publications/adapting-a-capacity-development-in-higher-education-project-doing
"""Being"" a Head of Department in an English University",['Megan Crawford'],9 Dec 2021,https://pureportal.coventry.ac.uk/en/publications/being-a-head-of-department-in-an-english-university
"Can COIL be effective in using diversity to contribute to equality? Experiences of iKudu, a European-South African consortium operating via a decolonised approach to project delivery","['Alun DeWinter', 'Reinout Klamer']",16 Aug 2021,https://pureportal.coventry.ac.uk/en/publications/can-coil-be-effective-in-using-diversity-to-contribute-to-equalit
Conceptualising leadership and emotions in higher education: wellbeing as wholeness,"['Sabre Cherkowski', 'Benjamin Kutsyuruba', 'Keith Walker', 'Megan Crawford']",2021,https://pureportal.coventry.ac.uk/en/publications/conceptualising-leadership-and-emotions-in-higher-education-wellb
Critiquing Inclusive Pedagogies: Online conversations on Inclusive online pedagogies,['Katherine Wimpenny'],16 Sept 2021,https://pureportal.coventry.ac.uk/en/publications/critiquing-inclusive-pedagogies-online-conversations-on-inclusive
Decolonising Education – Fostering Conversations - Interim Project Report,"['Luca Morini', 'Arinola Adefila']",9 Sept 2021,https://pureportal.coventry.ac.uk/en/publications/decolonising-education-fostering-conversations-interim-project-re
Development and validation of the e-Work Self-Efficacy Scale to assess digital competencies in remote working,"['Carlo Tramontano', 'Christine Grant', 'Carl Clarke']",31 Jul 2021,https://pureportal.coventry.ac.uk/en/publications/development-and-validation-of-the-e-work-self-efficacy-scale-to-a
"Digital critical literacy development and intercultural awareness raising ‘in’ action, ‘on’ action and ‘for’ action in ELT","['Marina Orsini-Jones', ""Abraham Cervero' Carrascosa"", 'Kyria Finardi']",1 Oct 2021,https://pureportal.coventry.ac.uk/en/publications/digital-critical-literacy-development-and-intercultural-awareness
Ecologized Collaborative Online International Learning: Tackling Wicked Sustainability Problems through Education for Sustainable Development,"['Arinola Adefila', 'Osman Arrobbio', 'Geraldine Brown', 'Zoe Robinson', 'Gary Spolander', 'Ilkhom Soliev', 'Bret Willers', 'Luca Morini', 'Dario Padovan', 'Katherine Wimpenny']",17 Jul 2021,https://pureportal.coventry.ac.uk/en/publications/ecologized-collaborative-online-international-learning-tackling-w
Education as Bulwark of Uselessness.,['Luca Morini'],28 Feb 2021,https://pureportal.coventry.ac.uk/en/publications/education-as-bulwark-of-uselessness
"Emotions in Learning, Teaching, and Leadership: A Bibliometric Review of Asian Literature (1990–2018)","['Mehmet Karakus', 'Muhammet Usak', 'A. Ersozlu']",25 Jan 2021,https://pureportal.coventry.ac.uk/en/publications/emotions-in-learning-teaching-and-leadership-a-bibliometric-revie
Exploring differential engagement with mathematics support from an engineering student focus,"['Farhana Gokhool', 'Duncan Lawson', 'Mark Hodds', 'Farzana Aslam']",23 Dec 2021,https://pureportal.coventry.ac.uk/en/publications/exploring-differential-engagement-with-mathematics-support-from-a
Institute of Coding - Educational Evaluation Report,"['Luca Morini', 'Stephen Raven']",26 Mar 2021,https://pureportal.coventry.ac.uk/en/publications/institute-of-coding-educational-evaluation-report
"Integrating Sustainability-Oriented Ecologies of Practice Across the Learning Cycle: Supporting Transformative Behaviours in Transgenerational, Transnational and Transdisciplinary Spaces","['Arinola Adefila', 'Yung-Fang Chen', 'QueAnh Dang', 'Alun DeWinter', 'Marta Antonelli', 'Sonia Massari', 'Annika Saarto', 'Alessandra Viviani', 'Tsvetelina Filipova', 'Mojtaba Ammari-Allahyari', 'Lars Karlsson']",30 Dec 2021,https://pureportal.coventry.ac.uk/en/publications/integrating-sustainability-oriented-ecologies-of-practice-across-
Internationalisation in the classroom and questions of alignment: embedding COIL in an internationalised curriculum,"['Jos Beelen', 'Katherine Wimpenny', 'Jon Rubin']",22 Feb 2021,https://pureportal.coventry.ac.uk/en/publications/internationalisation-in-the-classroom-and-questions-of-alignment-
"JOVITAL - Jordan Opportunity for Virtual Innovative Teaching and Learning Final Report on project activity and impact evaluation 2017-2021: International Online Teaching and Learning, with particular attention to the Jordanian Case ","['Alun DeWinter', 'Katherine Wimpenny', 'Arinola Adefila']",Apr 2021,https://pureportal.coventry.ac.uk/en/publications/jovital-jordan-opportunity-for-virtual-innovative-teaching-and-le
Measuring Early-Primary Students Resilience through Playful Learning,"['Fadhli Muhibuddin', 'Purnomo Rochmat Aldy', 'Deka Dyah Utami', 'Rizal Arifin', 'Sylvester Arnab', 'Katherine Wimpenny', 'Richard Tomlins']",27 Sept 2021,https://pureportal.coventry.ac.uk/en/publications/measuring-early-primary-students-resilience-through-playful-learn
Measuring Prosocial Behaviors: Psychometric Properties and Cross-National Validation of the Prosociality Scale in Five Countries,"['Bernadette Paula Luengo Kanacri', 'Nancy Eisenberg', 'Carlo Tramontano', 'Antonio Zuffianó', 'Maria Giovanna Caprara', 'Evangelina Regner', 'Liqi Zhu', 'Concetta Pastorelli', 'Gian Vittorio Caprara']",22 Jul 2021,https://pureportal.coventry.ac.uk/en/publications/measuring-prosocial-behaviors-psychometric-properties-and-cross-n
Motivation factors in student decisions to study Transnational Higher Education in China: a comparative study of two Anglo-Sino programmes,"['Dan Liu', 'Alun DeWinter', 'Peter Harrison', 'Katherine Wimpenny']",29 Mar 2021,https://pureportal.coventry.ac.uk/en/publications/enhancing-transnational-education-tne-programmes-understanding-st
Obstinate Memory: Documentary as trauma in disrupting state narratives on racial violence,['Ken Fero'],5 Oct 2021,https://pureportal.coventry.ac.uk/en/publications/obstinate-memory-documentary-as-trauma-in-disrupting-state-narrat
Online Pedagogies Beyond the Classroom,['Katherine Wimpenny'],11 Nov 2021,https://pureportal.coventry.ac.uk/en/publications/online-pedagogies-beyond-the-classroom
Outcomes of school administrators’ emotion management: A review of evidence in Asian countries,['Mehmet Karakus'],28 Apr 2021,https://pureportal.coventry.ac.uk/en/publications/outcomes-of-school-administrators-emotion-management-a-review-of-
Practising cultural sensitivity in virtual spaces: Virtual International Cultural Diversity Festival,['Katherine Wimpenny'],17 Sept 2021,https://pureportal.coventry.ac.uk/en/publications/practising-cultural-sensitivity-in-virtual-spaces-virtual-interna
"Self-efficacy, affective well-being, and intent-to-leave by science and mathematics teachers: A structural equation model","['Mehmet Karakus', 'Zara Ersozlu', 'Muhammet Usak', 'Jude Ocean']",1 Apr 2021,https://pureportal.coventry.ac.uk/en/publications/self-efficacy-affective-well-being-and-intent-to-leave-by-science
"Spirituality and Well-Being of Children, Adolescent, and Adult Students: A Scientific Mapping of the Literature","['Mehmet Karakus', 'Alpay ersozlu', 'Muhammet Usak', 'Salih Yucel']",Dec 2021,https://pureportal.coventry.ac.uk/en/publications/spirituality-and-well-being-of-children-adolescent-and-adult-stud
Stories and scenarios: lecturers’ use of fantastic hypothetical events,"['Hilary Nesi', 'Sian Alsop']",Sept 2021,https://pureportal.coventry.ac.uk/en/publications/stories-and-scenarios-lecturers-use-of-fantastic-hypothetical-eve
Students’ perceptions and experiences of teaching and learning in transnational higher education in China: implications of the intercultural dialogue framework,"['Dan Liu', 'Katherine Wimpenny', 'Alun DeWinter', 'Peter Harrison']",17 Mar 2021,https://pureportal.coventry.ac.uk/en/publications/students-perceptions-and-experiences-of-teaching-and-learning-in-
The early impact of the Covid-19 pandemic on mathematical competencies on entry into a UK university,['Mark Hodds'],1 Dec 2021,https://pureportal.coventry.ac.uk/en/publications/the-early-impact-of-the-covid-19-pandemic-on-mathematical-compete
The Factors Predicting the Achievement of the Immigrant Students: A Multilevel Analysis of PISA 2018,"['Mehmet Karakus', 'Matthew Courtney']",12 Apr 2021,https://pureportal.coventry.ac.uk/en/publications/the-factors-predicting-the-achievement-of-the-immigrant-students-
The Promise of Higher Education,['Luca Morini'],Dec 2021,https://pureportal.coventry.ac.uk/en/publications/the-promise-of-higher-education
"The roles of morphology, phonology and prosody in reading and spelling multisyllabic words","['Jodie Enderby', 'Julia Carroll', 'Luisa Tarczynski-Bowles', 'Helen Breadmore']",Jul 2021,https://pureportal.coventry.ac.uk/en/publications/the-roles-of-morphology-phonology-and-prosody-in-reading-and-spel
"Towards the mapping of learning, playful, and frugal aspects for developing 21st century competencies and resilience","['Sylvester Arnab', 'Dominic Mahon', 'Alex Masters', 'Luca Morini', 'Jacey-Lynn Minoi', 'Fitri Suraya Mohamad']",24 Sept 2021,https://pureportal.coventry.ac.uk/en/publications/towards-the-mapping-of-learning-playful-and-frugal-aspects-for-de
